Year,PM2.5,PM10,NO2,CO,SO2,O3,Benzene,Temp,AQI,Decision,,,
2015,313.22,607.98,69.16,2.2,9.25,41.68,14.36,13.58,472,Severe,,,
2015,186.18,269.55,62.09,2.54,6.65,29.97,10.55,13.66,454,Severe,,,
2015,87.18,131.9,25.73,2.61,2.65,19.71,3.91,14.54,143,Moderate,,,
2015,151.84,241.84,25.01,2.5,4.63,25.36,4.26,12.73,319,Very Poor,,,
2015,146.6,219.13,14.01,2.2,3.33,23.2,2.8,12.37,325,Very Poor,,,
2015,149.58,252.1,17.21,2.44,3.66,26.83,3.63,12.48,318,Very Poor,,,
2015,217.87,376.51,26.99,2.78,5.82,28.96,4.93,11.55,353,Very Poor,,,
2015,229.9,360.95,23.34,2.01,3.31,30.51,5.8,11.01,383,Very Poor,,,
2015,201.66,397.43,19.18,2.09,3.48,32.94,5.25,10.32,375,Very Poor,,,
2015,221.02,361.74,24.79,1.94,5.91,34.12,4.87,10.2,376,Very Poor,,,
2015,205.41,393.2,28.46,2.196,5.54,50.37,5.93,11.18,379,Very Poor,,,
2015,212.41,345.63,24.77,1.86,5.17,40.08,6.2,11.94,375,Very Poor,,,
2015,197.61,301.04,34.28,2.304,5.95,39.54,5.18,12.23,366,Very Poor,,,
2015,164.39,227.38,20.78,2.064,4.85,42.05,4.57,11.15,353,Very Poor,,,
2015,166.19,283.93,47.91,2.162,6.94,43.25,6.98,10.46,340,Very Poor,,,
2015,174.98,309.99,42.33,2.292,4.69,34.7,7.75,11.9,356,Very Poor,,,
2015,196.46,356.2,42.18,1.774,5.13,25.77,9.92,13.24,360,Very Poor,,,
2015,201.51,359.75,45.51,1.798,5.43,23.22,9,12.35,370,Very Poor,,,
2015,183.35,305.13,27.32,1.804,4.21,25.34,5.57,12.22,362,Very Poor,,,
2015,165.63,257.04,16.47,1.606,4.11,22.69,3.42,11.97,340,Very Poor,,,
2015,159.54,235.27,12.27,1.802,7.05,18.56,4.1,12.93,338,Very Poor,,,
2015,143.68,183.89,14.75,2.116,8.64,6.94,4.15,13.58,332,Very Poor,,,
2015,128.73,136.07,11.99,1.748,6.77,10.91,2.51,12.81,254,Poor,,,
2015,164.98,200.02,10.38,1.878,8.89,9.35,2.6,13.48,324,Very Poor,,,
2015,148.59,203.81,11.82,2.288,5.96,16.65,3.37,12.1,333,Very Poor,,,
2015,129.34,137.86,12.46,2.038,6.78,18.18,3,11.82,292,Poor,,,
2015,154.2,217.2,14.41,2.072,6.42,17.11,3.31,11.55,318,Very Poor,,,
2015,134.6,156.9,18.96,2.042,5.21,15.23,3.27,10.03,295,Poor,,,
2015,173.13,277,23.14,2.348,5.53,16.29,4.02,9.8,327,Very Poor,,,
2015,178.04,272.61,19.8,2.316,6.43,14.91,3.65,10.73,345,Very Poor,,,
2015,158.59,207.06,30.67,1.74,5.03,17.51,4.36,12.46,334,Very Poor,,,
2015,211.59,371.05,57.56,2.616,9.9,23.28,6.65,13.26,358,Very Poor,,,
2015,163.64,219.84,13.7,2.118,5.31,28.38,2.53,15.36,349,Very Poor,,,
2015,157.71,194.09,12.28,1.642,5.64,28.56,2.13,15.07,334,Very Poor,,,
2015,137.26,147.08,15.21,1.822,5.06,15.07,3.04,13.93,313,Very Poor,,,
2015,131.76,127.42,23.15,1.636,4.85,21.7,4.92,13.22,262,Poor,,,
2015,151.6,330.99,46.66,1.102,9.13,33.92,9.46,13.98,303,Very Poor,,,
2015,160.75,210.52,37.54,2.056,6.91,43.44,5.5,16.54,329,Very Poor,,,
2015,145.34,215.69,30.54,1.078,8.66,30.43,2.42,17.37,323,Very Poor,,,
2015,134.67,109.86,19.95,1.022,9.7,20.62,2.59,16,266,Poor,,,
2015,153.07,218.23,23.41,2.176,5.81,19.02,5.58,15.26,319,Very Poor,,,
2015,116.91,316.14,33.79,2.528,7.54,27.17,5.96,15.06,334,Very Poor,,,
2015,177.98,394.97,30.48,2.75,9.2,25.58,3.5,14.83,342,Very Poor,,,
2015,167.01,328.43,32.23,2.252,7.77,27.62,3.53,16.4,341,Very Poor,,,
2015,193.96,412.46,81.47,2.346,9.36,34.22,9.01,19.51,377,Very Poor,,,
2015,184.06,497.37,44.16,2.756,9.13,40.91,4.79,19.52,391,Very Poor,,,
2015,152.62,310.74,24.32,2.31,6.79,34.36,2.84,19.14,358,Very Poor,,,
2015,161.27,195.78,23.71,2.06,5.6,41.62,3.04,19.39,327,Very Poor,,,
2015,188.2,253.53,69.2,3.246,8.65,36.54,8.34,19.51,365,Very Poor,,,
2015,159.97,193.78,24.53,2.622,5.08,31.88,3.11,20.67,352,Very Poor,,,
2015,144.12,162.2,18.1,2.29,5.93,31.61,2.35,21.47,317,Very Poor,,,
2015,155.38,191.03,35.51,2.842,12.24,30.11,4.69,21.27,320,Very Poor,,,
2015,124.1,107.61,15.38,1.946,5.68,27.19,0.88,22.3,279,Poor,,,
2015,141.39,157.01,21.95,1.858,9.43,36.86,2.02,20.59,281,Poor,,,
2015,170.16,238.33,36.04,2.834,9.28,37.39,4.28,20.33,354,Very Poor,,,
2015,148.19,169.57,14.79,2.826,5.94,31.57,2.06,21.46,340,Very Poor,,,
2015,140.78,171.64,11.34,2.722,6.98,28.72,1.81,16.76,323,Very Poor,,,
2015,130.42,163.67,13.85,2.556,12.12,34.08,2.14,17.16,315,Very Poor,,,
2015,105.86,169.28,9.21,2.36,12.48,41.38,1.97,18.57,310,Very Poor,,,
2015,71.83,98.89,8.49,2.324,10.99,22.51,1.38,16.52,324,Very Poor,,,
2015,53.71,60.15,11.02,2.038,3.21,22.08,0.91,15.92,226,Poor,,,
2015,83.49,112.1,16.23,2.344,5.07,20.83,2.13,16.47,266,Poor,,,
2015,91.07,139.15,13.71,2.128,4.68,25.83,1.6,15.84,200,Moderate,,,
2015,106.57,196.19,25.97,1.872,5.97,32.88,3.27,16.96,275,Poor,,,
2015,101.75,163.14,20.56,2.11,5.96,33.67,2.45,18.69,322,Very Poor,,,
2015,77.57,90.54,12.07,1.896,5.18,23.09,1.68,19.24,216,Poor,,,
2015,63.24,80.2,13.52,1.638,3.98,20.71,1.69,19.45,108,Moderate,,,
2015,76.62,117.38,10.49,1.804,4.2,22.85,1.12,16.06,197,Moderate,,,
2015,86.7,150.92,11.44,1.596,3.84,25.87,1.51,16.56,238,Poor,,,
2015,104.29,176.2,14.94,2.152,6.3,29.62,2.32,18.05,274,Poor,,,
2015,115.93,203.75,18.48,2.26,7.03,35.05,2.9,20.91,315,Very Poor,,,
2015,108.66,173.89,15.61,2.046,10.65,34.05,3.41,22.58,307,Very Poor,,,
2015,67.94,105.29,14.3,1.836,10.14,23.39,2.42,21.18,208,Poor,,,
2015,38.89,46.68,9.49,1.646,4.25,22,1.03,19.09,165,Moderate,,,
2015,45.39,74.14,10.2,1.574,8.8,25.55,1.05,19.92,188,Moderate,,,
2015,55.55,104.33,12.18,2.09,7.19,23.11,1.55,20.36,217,Poor,,,
2015,50.59,95.56,9.32,1.566,3.6,27.5,1.11,19.87,191,Moderate,,,
2015,69.51,136.67,14.05,1.578,4.97,27.07,3.23,20.77,240,Poor,,,
2015,96.62,168,19.15,1.918,6.66,29.01,5.67,22.28,229,Poor,,,
2015,96.28,172.91,20.18,1.764,7.31,25.97,7.79,23.98,248,Poor,,,
2015,72.2,122.12,9.39,1.7,4.4,25.48,2.67,24.76,204,Poor,,,
2015,78.47,131.42,12.57,1.72,4.07,27.1,5.45,25.27,271,Poor,,,
2015,91.87,179.36,21.3,2.02,7.35,34.78,9.72,26.1,290,Poor,,,
2015,107.26,201.08,21.52,2.338,11.82,45.78,4.93,26.71,340,Very Poor,,,
2015,109.78,217.9,24.1,2.534,9.3,40,6.64,27.83,358,Very Poor,,,
2015,62.27,117.81,12.01,1.858,10.91,31.08,4.14,27.83,287,Poor,,,
2015,102.22,212.96,22.14,2.094,17.16,40.23,3.87,27.14,323,Very Poor,,,
2015,104.36,202.01,23.55,2.884,16.92,32.84,3.96,23.04,360,Very Poor,,,
2015,44.19,57,7.11,1.916,7.75,26.81,1.45,23.12,268,Poor,,,
2015,55.66,78.64,10.22,1.912,9.34,34.15,2.01,25.55,283,Poor,,,
2015,112.86,167.6,24.6,2.03,19.48,38.45,4.04,26.8,309,Very Poor,,,
2015,78.51,112.78,9.82,1.344,14.37,35.54,2.17,27.88,249,Poor,,,
